Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,Cluster Label,MonetaryValue per 100 pounds
12348.0,1437.24,4,2011-09-25 13:13:00,74,3,Retain,14.3724
12349.0,1457.55,1,2011-11-21 09:51:00,18,0,Re-Engage,14.5755
12350.0,294.4,1,2011-02-02 16:01:00,309,1,Reward,2.944
12352.0,1385.74,7,2011-11-03 14:37:00,35,2,Nurture,13.8574
12353.0,89.0,1,2011-05-19 17:47:00,203,1,Reward,0.89
12354.0,1079.4,1,2011-04-21 13:11:00,231,1,Reward,10.794
12355.0,459.4,1,2011-05-09 13:49:00,213,1,Reward,4.593999999999999
12356.0,2487.43,3,2011-11-17 08:40:00,22,3,Retain,24.874299999999998
12358.0,928.0600000000001,2,2011-12-08 10:26:00,1,0,Re-Engage,9.2806
12360.0,2302.06,3,2011-10-18 15:22:00,51,3,Retain,23.020599999999998
12361.0,174.9,1,2011-02-25 13:51:00,286,1,Reward,1.749
12363.0,552.0,2,2011-08-22 10:18:00,109,0,Re-Engage,5.52
12364.0,1208.1,4,2011-12-02 10:22:00,7,3,Retain,12.081
12365.0,320.69,1,2011-02-21 13:51:00,290,1,Reward,3.2069
12367.0,150.9,1,2011-12-05 16:48:00,3,0,Re-Engage,1.5090000000000001
12370.0,3425.69,4,2011-10-19 14:51:00,50,2,Nurture,34.2569
12371.0,1527.96,1,2011-10-11 10:43:00,59,3,Retain,15.2796
12372.0,1196.04,3,2011-09-29 12:12:00,71,3,Retain,11.9604
12373.0,324.6,1,2011-02-01 13:10:00,310,1,Reward,3.2460000000000004
12374.0,622.93,1,2011-11-14 15:37:00,24,0,Re-Engage,6.229299999999999
12375.0,377.5,2,2011-11-29 10:36:00,10,0,Re-Engage,3.775
12377.0,1548.12,2,2011-01-28 15:45:00,314,1,Reward,15.4812
12379.0,777.24,2,2011-09-19 10:09:00,81,0,Re-Engage,7.7724
12380.0,2427.81,4,2011-11-18 11:27:00,21,2,Nurture,24.2781
12381.0,1474.81,3,2011-12-05 12:44:00,4,3,Retain,14.748099999999999
12383.0,1628.56,5,2011-06-08 08:02:00,184,3,Retain,16.2856
